date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:35	16810/16810	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202019%2011:00:26%20GMT	https://doc.akka.io/docs/akka-http/current/	doc.akka.io/docs/akka-http/current/index.html	(from )
18:10:35	41/41	---M--	200	added ('OK')	text/plain	etag:%2229-584ffe7de0138%22	https://doc.akka.io/robots.txt		(from )
18:10:36	16810/16810	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202019%2011:00:26%20GMT	https://doc.akka.io/docs/akka-http/current/index.html	doc.akka.io/docs/akka-http/current/index-2.html	(from https://doc.akka.io/docs/akka-http/current/)
18:10:37	84280/84280	---M-Z	200	added ('OK')	application/javascript	etag:%2214938-58dde66942ea7-gzip%22	https://doc.akka.io/docs/akka-http/current/lib/jquery/jquery.min.js	doc.akka.io/docs/akka-http/current/lib/jquery/jquery.min.js	(from https://doc.akka.io/docs/akka-http/current/)
18:10:38	123510/123510	---M-Z	200	added ('OK')	application/javascript	etag:%221e276-58dde66941f07-gzip%22	https://doc.akka.io/docs/akka-http/current/lib/foundation/dist/js/foundation.min.js	doc.akka.io/docs/akka-http/current/lib/foundation/dist/js/foundation.min.js	(from https://doc.akka.io/docs/akka-http/current/)
18:10:38	7783/7783	---M-Z	200	added ('OK')	text/css	etag:%221e67-58dde66942ea7-gzip%22	https://doc.akka.io/docs/akka-http/current/lib/normalize.css/normalize.css	doc.akka.io/docs/akka-http/current/lib/normalize.css/normalize.css	(from https://doc.akka.io/docs/akka-http/current/)
18:10:40	71948/71948	---M-Z	200	added ('OK')	text/css	etag:%221190c-58dde6693ffc7-gzip%22	https://doc.akka.io/docs/akka-http/current/lib/foundation/dist/css/foundation.min.css	doc.akka.io/docs/akka-http/current/lib/foundation/dist/css/foundation.min.css	(from https://doc.akka.io/docs/akka-http/current/)
18:10:43	18975/18975	---MCZ	200	added ('OK')	text/css	etag:W/%224a1f-CpG1pd4Wh0E5j9AIekidg+v/Nr4%22	https://cdn.jsdelivr.net/docsearch.js/2/docsearch.min.css	cdn.jsdelivr.net/docsearch.js/2/docsearch.min.css	(from https://doc.akka.io/docs/akka-http/current/)
18:10:43	1072/1072	---M-Z	200	added ('OK')	text/css	etag:%22430-58dde668f5c4a-gzip%22	https://doc.akka.io/docs/akka-http/current/css/icons.css	doc.akka.io/docs/akka-http/current/css/icons.css	(from https://doc.akka.io/docs/akka-http/current/)
18:10:44	16211/16211	---M-Z	200	added ('OK')	text/css	etag:%223f53-58dde668f5c4a-gzip%22	https://doc.akka.io/docs/akka-http/current/css/page.css	doc.akka.io/docs/akka-http/current/css/page.css	(from https://doc.akka.io/docs/akka-http/current/)
18:10:46	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223aee-58dde66931567%22	https://doc.akka.io/docs/akka-http/current/images/favicon.ico	doc.akka.io/docs/akka-http/current/images/favicon.ico	(from https://doc.akka.io/docs/akka-http/current/)
